index,curr,next,speed
0,cropped_images/train/0.jpg,cropped_images/train/1.jpg,28.105569
1,cropped_images/train/1.jpg,cropped_images/train/2.jpg,28.105569
2,cropped_images/train/2.jpg,cropped_images/train/3.jpg,28.106527
3,cropped_images/train/3.jpg,cropped_images/train/4.jpg,28.130404
4,cropped_images/train/4.jpg,cropped_images/train/5.jpg,28.109243
5,cropped_images/train/5.jpg,cropped_images/train/6.jpg,28.088572
6,cropped_images/train/6.jpg,cropped_images/train/7.jpg,28.034211
7,cropped_images/train/7.jpg,cropped_images/train/8.jpg,28.018491
8,cropped_images/train/8.jpg,cropped_images/train/9.jpg,27.986624
9,cropped_images/train/9.jpg,cropped_images/train/10.jpg,28.016352
10,cropped_images/train/10.jpg,cropped_images/train/11.jpg,27.981986
11,cropped_images/train/11.jpg,cropped_images/train/12.jpg,27.978625
12,cropped_images/train/12.jpg,cropped_images/train/13.jpg,28.032331
13,cropped_images/train/13.jpg,cropped_images/train/14.jpg,27.960219
14,cropped_images/train/14.jpg,cropped_images/train/15.jpg,27.937178
15,cropped_images/train/15.jpg,cropped_images/train/16.jpg,27.940599
16,cropped_images/train/16.jpg,cropped_images/train/17.jpg,27.908579
17,cropped_images/train/17.jpg,cropped_images/train/18.jpg,27.898606
18,cropped_images/train/18.jpg,cropped_images/train/19.jpg,27.855982
19,cropped_images/train/19.jpg,cropped_images/train/20.jpg,27.795581
20,cropped_images/train/20.jpg,cropped_images/train/21.jpg,27.850634
21,cropped_images/train/21.jpg,cropped_images/train/22.jpg,27.839349
22,cropped_images/train/22.jpg,cropped_images/train/23.jpg,27.824348
23,cropped_images/train/23.jpg,cropped_images/train/24.jpg,27.759608
24,cropped_images/train/24.jpg,cropped_images/train/25.jpg,27.830055
25,cropped_images/train/25.jpg,cropped_images/train/26.jpg,27.761886
26,cropped_images/train/26.jpg,cropped_images/train/27.jpg,27.694763
27,cropped_images/train/27.jpg,cropped_images/train/28.jpg,27.761203
28,cropped_images/train/28.jpg,cropped_images/train/29.jpg,27.691932
29,cropped_images/train/29.jpg,cropped_images/train/30.jpg,27.666086
30,cropped_images/train/30.jpg,cropped_images/train/31.jpg,27.723912
31,cropped_images/train/31.jpg,cropped_images/train/32.jpg,27.639469
32,cropped_images/train/32.jpg,cropped_images/train/33.jpg,27.612874
33,cropped_images/train/33.jpg,cropped_images/train/34.jpg,27.638534
34,cropped_images/train/34.jpg,cropped_images/train/35.jpg,27.606098
35,cropped_images/train/35.jpg,cropped_images/train/36.jpg,27.593209
36,cropped_images/train/36.jpg,cropped_images/train/37.jpg,27.573926
37,cropped_images/train/37.jpg,cropped_images/train/38.jpg,27.561151
38,cropped_images/train/38.jpg,cropped_images/train/39.jpg,27.559232
39,cropped_images/train/39.jpg,cropped_images/train/40.jpg,27.528067
40,cropped_images/train/40.jpg,cropped_images/train/41.jpg,27.522542
41,cropped_images/train/41.jpg,cropped_images/train/42.jpg,27.531058
42,cropped_images/train/42.jpg,cropped_images/train/43.jpg,27.493015
43,cropped_images/train/43.jpg,cropped_images/train/44.jpg,27.487706
44,cropped_images/train/44.jpg,cropped_images/train/45.jpg,27.440943
45,cropped_images/train/45.jpg,cropped_images/train/46.jpg,27.439646
46,cropped_images/train/46.jpg,cropped_images/train/47.jpg,27.412907
47,cropped_images/train/47.jpg,cropped_images/train/48.jpg,27.401744
48,cropped_images/train/48.jpg,cropped_images/train/49.jpg,27.396007
49,cropped_images/train/49.jpg,cropped_images/train/50.jpg,27.35751
50,cropped_images/train/50.jpg,cropped_images/train/51.jpg,27.365647
51,cropped_images/train/51.jpg,cropped_images/train/52.jpg,27.347638
52,cropped_images/train/52.jpg,cropped_images/train/53.jpg,27.302128
53,cropped_images/train/53.jpg,cropped_images/train/54.jpg,27.309836
54,cropped_images/train/54.jpg,cropped_images/train/55.jpg,27.266277
55,cropped_images/train/55.jpg,cropped_images/train/56.jpg,27.266066
56,cropped_images/train/56.jpg,cropped_images/train/57.jpg,27.238097
57,cropped_images/train/57.jpg,cropped_images/train/58.jpg,27.239031
58,cropped_images/train/58.jpg,cropped_images/train/59.jpg,27.227439
59,cropped_images/train/59.jpg,cropped_images/train/60.jpg,27.209839
60,cropped_images/train/60.jpg,cropped_images/train/61.jpg,27.224821
61,cropped_images/train/61.jpg,cropped_images/train/62.jpg,27.181666
62,cropped_images/train/62.jpg,cropped_images/train/63.jpg,27.170096
63,cropped_images/train/63.jpg,cropped_images/train/64.jpg,27.15459
64,cropped_images/train/64.jpg,cropped_images/train/65.jpg,27.104113
65,cropped_images/train/65.jpg,cropped_images/train/66.jpg,27.081358
66,cropped_images/train/66.jpg,cropped_images/train/67.jpg,27.071874
67,cropped_images/train/67.jpg,cropped_images/train/68.jpg,27.073267
68,cropped_images/train/68.jpg,cropped_images/train/69.jpg,27.039336
69,cropped_images/train/69.jpg,cropped_images/train/70.jpg,27.041493
70,cropped_images/train/70.jpg,cropped_images/train/71.jpg,27.018145
71,cropped_images/train/71.jpg,cropped_images/train/72.jpg,27.009551
72,cropped_images/train/72.jpg,cropped_images/train/73.jpg,26.996247
73,cropped_images/train/73.jpg,cropped_images/train/74.jpg,26.954839
74,cropped_images/train/74.jpg,cropped_images/train/75.jpg,26.968576
75,cropped_images/train/75.jpg,cropped_images/train/76.jpg,26.913075
76,cropped_images/train/76.jpg,cropped_images/train/77.jpg,26.903469
77,cropped_images/train/77.jpg,cropped_images/train/78.jpg,26.908829
78,cropped_images/train/78.jpg,cropped_images/train/79.jpg,26.860309
79,cropped_images/train/79.jpg,cropped_images/train/80.jpg,26.86931
80,cropped_images/train/80.jpg,cropped_images/train/81.jpg,26.870268
81,cropped_images/train/81.jpg,cropped_images/train/82.jpg,26.836196
82,cropped_images/train/82.jpg,cropped_images/train/83.jpg,26.836415
83,cropped_images/train/83.jpg,cropped_images/train/84.jpg,26.843831
84,cropped_images/train/84.jpg,cropped_images/train/85.jpg,26.775542
85,cropped_images/train/85.jpg,cropped_images/train/86.jpg,26.732431
86,cropped_images/train/86.jpg,cropped_images/train/87.jpg,26.730095
